diagnosticos_principales,sexos_id,sexos_nombre,urgencia_ingreso,estancia_media_hospitales_canarias,notas_observacion
Todas las causas (ver excepciones en metodología),T,Ambos sexos,Total,11.90,
Todas las causas (ver excepciones en metodología),T,Ambos sexos,Ordinario,13.96,
Todas las causas (ver excepciones en metodología),T,Ambos sexos,Urgente,10.84,
Todas las causas (ver excepciones en metodología),M,Hombres,Total,12.58,
Todas las causas (ver excepciones en metodología),M,Hombres,Ordinario,13.08,
Todas las causas (ver excepciones en metodología),M,Hombres,Urgente,12.31,
Todas las causas (ver excepciones en metodología),F,Mujeres,Total,11.29,
Todas las causas (ver excepciones en metodología),F,Mujeres,Ordinario,14.79,
Todas las causas (ver excepciones en metodología),F,Mujeres,Urgente,9.53,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",T,Ambos sexos,Total,16.27,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",T,Ambos sexos,Ordinario,44.10,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",T,Ambos sexos,Urgente,13.91,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",M,Hombres,Total,16.62,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",M,Hombres,Ordinario,42.55,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",M,Hombres,Urgente,14.51,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",F,Mujeres,Total,15.88,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",F,Mujeres,Ordinario,45.72,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",F,Mujeres,Urgente,13.23,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",T,Ambos sexos,Total,10.69,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",T,Ambos sexos,Ordinario,6.14,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",T,Ambos sexos,Urgente,11.07,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",M,Hombres,Total,8.95,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",M,Hombres,Ordinario,2.89,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",M,Hombres,Urgente,9.44,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",F,Mujeres,Total,12.64,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",F,Mujeres,Ordinario,9.59,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",F,Mujeres,Urgente,12.90,
0102 Gastroenteritis y colitis infecciosas A09,T,Ambos sexos,Total,7.43,
0102 Gastroenteritis y colitis infecciosas A09,T,Ambos sexos,Ordinario,10.44,
0102 Gastroenteritis y colitis infecciosas A09,T,Ambos sexos,Urgente,6.28,
0102 Gastroenteritis y colitis infecciosas A09,M,Hombres,Total,5.35,
0102 Gastroenteritis y colitis infecciosas A09,M,Hombres,Ordinario,4.46,
0102 Gastroenteritis y colitis infecciosas A09,M,Hombres,Urgente,5.65,
0102 Gastroenteritis y colitis infecciosas A09,F,Mujeres,Total,9.36,
0102 Gastroenteritis y colitis infecciosas A09,F,Mujeres,Ordinario,15.11,
0102 Gastroenteritis y colitis infecciosas A09,F,Mujeres,Urgente,6.90,
"0103 Tuberculosis A15-A19, B90",T,Ambos sexos,Total,19.30,
"0103 Tuberculosis A15-A19, B90",T,Ambos sexos,Ordinario,45.33,
"0103 Tuberculosis A15-A19, B90",T,Ambos sexos,Urgente,16.87,
"0103 Tuberculosis A15-A19, B90",M,Hombres,Total,20.46,
"0103 Tuberculosis A15-A19, B90",M,Hombres,Ordinario,73.67,
"0103 Tuberculosis A15-A19, B90",M,Hombres,Urgente,17.08,
"0103 Tuberculosis A15-A19, B90",F,Mujeres,Total,16.38,
"0103 Tuberculosis A15-A19, B90",F,Mujeres,Ordinario,17.00,
"0103 Tuberculosis A15-A19, B90",F,Mujeres,Urgente,16.27,
0104 Septicemia A40-A41,T,Ambos sexos,Total,28.08,
0104 Septicemia A40-A41,T,Ambos sexos,Ordinario,86.35,
0104 Septicemia A40-A41,T,Ambos sexos,Urgente,17.71,
