diagnosticos_principales,sexos_id,sexos_nombre,intervalos_estancia,estancia_media_residentes_canarias_dados_alta_cualquier_hospital_nacional,notas_observacion
Todas las causas (ver excepciones en metodología),T,Ambos sexos,Total,12.24,
Todas las causas (ver excepciones en metodología),T,Ambos sexos,De 1 a 30 días,6.17,
Todas las causas (ver excepciones en metodología),T,Ambos sexos,De 31 días a 6 meses,58.51,
Todas las causas (ver excepciones en metodología),T,Ambos sexos,Más de 6 meses a 1 año,251.39,
Todas las causas (ver excepciones en metodología),T,Ambos sexos,Superior a 1 año,1155.01,
Todas las causas (ver excepciones en metodología),M,Hombres,Total,12.97,
Todas las causas (ver excepciones en metodología),M,Hombres,De 1 a 30 días,6.61,
Todas las causas (ver excepciones en metodología),M,Hombres,De 31 días a 6 meses,58.04,
Todas las causas (ver excepciones en metodología),M,Hombres,Más de 6 meses a 1 año,248.51,
Todas las causas (ver excepciones en metodología),M,Hombres,Superior a 1 año,1202.82,
Todas las causas (ver excepciones en metodología),F,Mujeres,Total,11.58,
Todas las causas (ver excepciones en metodología),F,Mujeres,De 1 a 30 días,5.77,
Todas las causas (ver excepciones en metodología),F,Mujeres,De 31 días a 6 meses,59.06,
Todas las causas (ver excepciones en metodología),F,Mujeres,Más de 6 meses a 1 año,254.49,
Todas las causas (ver excepciones en metodología),F,Mujeres,Superior a 1 año,1117.51,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",T,Ambos sexos,Total,16.80,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",T,Ambos sexos,De 1 a 30 días,9.59,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",T,Ambos sexos,De 31 días a 6 meses,58.16,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",T,Ambos sexos,Más de 6 meses a 1 año,237.17,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",T,Ambos sexos,Superior a 1 año,1452.18,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",M,Hombres,Total,17.12,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",M,Hombres,De 1 a 30 días,9.64,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",M,Hombres,De 31 días a 6 meses,58.34,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",M,Hombres,Más de 6 meses a 1 año,225.00,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",M,Hombres,Superior a 1 año,1284.97,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",F,Mujeres,Total,16.44,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",F,Mujeres,De 1 a 30 días,9.54,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",F,Mujeres,De 31 días a 6 meses,57.94,
