diagnosticos_principales;sexos_id;sexos_nombre;grupos_edad_id;grupos_edad_nombre;estancia_media_residentes_canarias_dados_alta_cualquier_hospital_nacional
Todas las causas (ver excepciones en metodología);T;Ambos sexos;T;Total grupos de edad;12.18
Todas las causas (ver excepciones en metodología);T;Ambos sexos;0;Menores de 1 año;6.99
Todas las causas (ver excepciones en metodología);T;Ambos sexos;1;De 1 a 4 años;4.47
Todas las causas (ver excepciones en metodología);T;Ambos sexos;2;De 5 a 14 años;4.99
Todas las causas (ver excepciones en metodología);T;Ambos sexos;3;De 15 a 24 años;5.70
Todas las causas (ver excepciones en metodología);T;Ambos sexos;4;De 25 a 34 años;5.27
Todas las causas (ver excepciones en metodología);T;Ambos sexos;5;De 35 a 44 años;5.98
Todas las causas (ver excepciones en metodología);T;Ambos sexos;6;De 45 a 54 años;10.39
Todas las causas (ver excepciones en metodología);T;Ambos sexos;7;De 55 a 64 años;10.87
Todas las causas (ver excepciones en metodología);T;Ambos sexos;8;De 65 a 74 años;13.96
Todas las causas (ver excepciones en metodología);T;Ambos sexos;9;De 75 a 84 años;17.65
Todas las causas (ver excepciones en metodología);T;Ambos sexos;10;De 85 a 89 años;22.46
Todas las causas (ver excepciones en metodología);T;Ambos sexos;11;De 90 a 94 años;28.96
Todas las causas (ver excepciones en metodología);T;Ambos sexos;12;De 95 y más años;40.53
Todas las causas (ver excepciones en metodología);M;Hombres;T;Total grupos de edad;13.08
Todas las causas (ver excepciones en metodología);M;Hombres;0;Menores de 1 año;6.78
Todas las causas (ver excepciones en metodología);M;Hombres;1;De 1 a 4 años;4.51
Todas las causas (ver excepciones en metodología);M;Hombres;2;De 5 a 14 años;4.41
Todas las causas (ver excepciones en metodología);M;Hombres;3;De 15 a 24 años;7.22
Todas las causas (ver excepciones en metodología);M;Hombres;4;De 25 a 34 años;9.65
Todas las causas (ver excepciones en metodología);M;Hombres;5;De 35 a 44 años;8.66
Todas las causas (ver excepciones en metodología);M;Hombres;6;De 45 a 54 años;12.17
Todas las causas (ver excepciones en metodología);M;Hombres;7;De 55 a 64 años;12.44
Todas las causas (ver excepciones en metodología);M;Hombres;8;De 65 a 74 años;13.24
Todas las causas (ver excepciones en metodología);M;Hombres;9;De 75 a 84 años;17.98
Todas las causas (ver excepciones en metodología);M;Hombres;10;De 85 a 89 años;22.56
Todas las causas (ver excepciones en metodología);M;Hombres;11;De 90 a 94 años;18.48
Todas las causas (ver excepciones en metodología);M;Hombres;12;De 95 y más años;25.56
Todas las causas (ver excepciones en metodología);F;Mujeres;T;Total grupos de edad;11.37
Todas las causas (ver excepciones en metodología);F;Mujeres;0;Menores de 1 año;7.29
Todas las causas (ver excepciones en metodología);F;Mujeres;1;De 1 a 4 años;4.42
Todas las causas (ver excepciones en metodología);F;Mujeres;2;De 5 a 14 años;5.71
Todas las causas (ver excepciones en metodología);F;Mujeres;3;De 15 a 24 años;4.71
Todas las causas (ver excepciones en metodología);F;Mujeres;4;De 25 a 34 años;3.95
Todas las causas (ver excepciones en metodología);F;Mujeres;5;De 35 a 44 años;4.63
Todas las causas (ver excepciones en metodología);F;Mujeres;6;De 45 a 54 años;8.53
Todas las causas (ver excepciones en metodología);F;Mujeres;7;De 55 a 64 años;8.81
Todas las causas (ver excepciones en metodología);F;Mujeres;8;De 65 a 74 años;14.94
Todas las causas (ver excepciones en metodología);F;Mujeres;9;De 75 a 84 años;17.29
Todas las causas (ver excepciones en metodología);F;Mujeres;10;De 85 a 89 años;22.40
Todas las causas (ver excepciones en metodología);F;Mujeres;11;De 90 a 94 años;35.13
